series,label,n,lam_hat,ll_exp,q_hat,beta_hat,ll_qexp,lr_stat,lr_pval,ad_stat,ad_crit,ad_reject,sigma_or,rho_or
IPG311A2S,Food/Bev/Tobacco,648,138.3709018593259,2546.5996778095578,0.9367606250699102,123.1030893127998,2549.115628475452,5.031901331788504,0.024884565518215496,5.675888292487343,1.32,True,3.25,0.6923076923076923
IPG313A4S,Textiles,648,83.55084820251335,2219.6951037520316,1.0538888222757081,94.06176822291107,2223.675663043763,7.961118583462849,0.004779286850829956,2.631783872081087,1.32,True,3.81,0.7375328083989501
IPG315A6S,Apparel/Leather,648,79.47812701489957,2187.3122400418974,1.0954096490909284,99.11768220772505,2197.0841814311775,19.543882778560146,9.831504850121853e-06,0.9376298011994777,1.32,False,4.02,0.7512437810945274
IPG321S,Wood Products,648,70.50650274770263,2109.696803142192,1.034919103216607,75.85304106804611,2110.5825782146608,1.7715501449374642,0.18319035269682893,2.776751797229281,1.32,True,2.62,0.6183206106870229
IPG322S,Paper,648,88.16502263457454,2254.5282845020347,0.8893831434264478,72.25940226534652,2258.135834330262,7.215099656454186,0.007229280047119202,4.445072634029657,1.32,True,2.18,0.5412844036697249
IPG323S,Printing,648,107.73762146693629,2384.444848583754,1.0763024776997525,128.4402767430933,2393.3801710269877,17.870644886467744,2.3644021581614716e-05,1.9510363798455046,1.32,True,2.87,0.6515679442508711
IPG324S,Petroleum/Coal,648,73.31493769762382,2135.0073160616685,1.0475792622629543,81.17255761329619,2137.021508483491,4.028384843644744,0.044740755097996576,3.4373581578491894,1.32,True,6.52,0.8466257668711656
IPG325S,Chemicals,647,119.75615268027632,2449.191076482607,1.033499954880689,128.40170965187826,2449.8193638841194,1.256574803024705,0.26230043079347876,3.5347372750012482,1.32,True,3.69,0.7289972899728997
IPG326S,Plastics/Rubber,648,94.69939776995649,2300.858551255282,1.1161502768117941,124.69294023133735,2313.989834416654,26.262566322744533,2.980093603e-07,4.840524383933598,1.32,True,3.14,0.6815286624203822
IPG331S,Primary Metals,648,52.147945087366836,1914.2469353565793,1.0068570655797595,52.87437448656618,1914.278653585674,0.06343645818924415,0.8011446770673668,3.238854230489551,1.32,True,4.55,0.7802197802197802
IPG332S,Fabricated Metals,648,139.8120576071925,2553.313800638211,1.0299410295443945,148.82464691738494,2554.095341999299,1.56308272217575,0.21121442073450847,5.258721989255946,1.32,True,2.93,0.658703071672355
IPG333S,Machinery,648,82.05646410002957,2208.0001227801913,0.9984064584650341,81.79610569340821,2208.0035705496207,0.006895538858771033,0.9338202259231984,8.393214403512275,1.32,True,3.37,0.7032640949554896
IPG334S,Computer/Electronics,647,81.85039980087839,2202.965892869467,0.6283682491971305,47.11747765119065,2225.41242949608,44.89307325322625,2.0809243217456697e-11,6.927716179970503,1.32,True,5.83,0.8284734133790738
IPG335S,Electrical Equipment,648,93.79282516157693,2294.6252587521667,0.8895204777863448,76.9365191509092,2298.624939199847,7.999360895360951,0.004679386323633072,3.904094832482315,1.32,True,3.42,0.7076023391812866
IPG336S,Transport Equipment,648,47.74327098968964,1857.0631116837662,1.1586507654779319,72.55492205757115,1894.1223259453282,74.11842852312384,0.0,4.977610438175361,1.32,True,3.08,0.6753246753246753
IPG337S,Furniture,648,91.45787980496378,2278.2892915202606,1.0861021299731086,111.36217244924578,2286.492022896772,16.40546275302313,5.113764001329901e-05,1.2908010060687047,1.32,False,3.52,0.7159090909090908
IPG339S,Misc Manufacturing,648,121.44650358959906,2462.0590652627097,1.0703987245969129,142.25099035750355,2468.1435325075604,12.168934489701314,0.0004859205645521003,2.469438899504212,1.32,True,3.91,0.7442455242966752
